Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2013,"The Order of Books: Readers, Authors, and Libraries in Europe Between the 14th and 18th Centuries","Chartier, Roger",216,academic,book history,,,,,
,2013,Novels and Arguments: Inventing Rhetorical Criticism,"McKeon, Zahava K.",217,academic,literary criticism,,,,,
,2013,Souls of the Labadie Tract (New Directions Paperbook),"Howe, Susan",218,poetry,,,,,,
,2013,The Arcades Project,"Benjamin, Walter",219,academic,literary criticism,,,,,
,2013,Getting the Message: A History of Communications,"Solymar, Laszlo",220,academic,communication studies,,,,,
,2013,The Castle of Crossed Destinies,"Calvino, Italo",221,fiction,,,,,,
,2013,Before Novels: Cultural Contexts of Eighteenth Century English Fiction,"Hunter, J. Paul",222,academic,literary criticism,,,,,
,2013,"Novel and Romance, 1700-1800: A Documentary Record","Williams, Ioan",223,academic,literary criticism,,,,,
,2013,The Year 2000,"Williams, Raymond",224,academic,literary criticism,,,,,
,2013,Hamlet on the Holodeck: The Future of Narrative in Cyberspace,"Murray, Janet H.",225,academic,technology,,,,,
,2013,The Whale and the Reactor: A Search for Limits in an Age of High Technology,"Winner, Langdon",226,academic,technology,,,,,
,2013,A Student's Guide to First-year Composition (The University of Arizona 2004-2005),Erik Ellis and Meg Smith Estela Ene,227,teaching,,,,,,
,2013,"Philosophy in a New Key: A Study in the Symbolism of Reason, Rite, and Art","Langer, Susanne K.",228,academic,philosophy,,,,,
,2013,The Poetics of Gender (Gender & Culture),"Miller, Nancy K.",229,academic,technology,,,,,
,2013,"The Heroine's Text: Readings in the French and English Novel, 1722-1782","Miller, Nancy K.",230,academic,technology,,,,,
,2013,The Imaginary Library: An Essay on Literature and Society (Princeton Essays in Literature Series),"Kernan, Alvin B.",231,academic,literary criticism,,,,,
,2013,Marcel Proust,"Tadie, Jean-Yves",232,academic,literary criticism,,,,,
,2013,"Atmosphere, Mood, Stimmung: On a Hidden Potential of Literature","Gumbrecht, Hans",233,academic,literary criticism,,,,,
,2013,Making Sense in Life and Literature (Theory and History of Literature),"Gumbrecht, Hans Ulrich",234,academic,literary criticism,,,,,
,2013,In Form: Digressions on the Act of Fiction (A Chicago Classic),"Sukenick, Ronald",235,fiction,,,,,,
,2013,Christie Malry's Own Double-Entry,"Johnson, B. S.",236,fiction,,,,,,
,2013,Autonomous Technology: Technics-out-of-Control as a Theme in Political Thought,"Winner, Langdon",237,academic,technology,,,,,
,2013,Postmodern Sublime: Technology and American Writing from Mailer to Cyberpunk,"Tabbi, Joseph",238,academic,literary criticism,,,,,
,2013,Cognitive Fictions,"Tabbi, Joseph",239,academic,literary criticism,,,,,
,2013,The Textual Condition (Princeton Studies in Culture/Power/History),"McGann, Jerome J.",240,academic,literary criticism,,,,,
,2013,Reading Matters: Narrative in the New Media Ecology,"Tabbi, Joseph",241,academic,literary criticism,,,,,
,2013,"Symmetry, Causality, Mind (Bradford Books)","Leyton, Michael",242,academic,literary criticism,,,,,
,2013,"Rescuing the Subject, 2nd Edition: A Critical Introduction to Rhetoric and the Writer","Miller, Susan",243,academic,rhetoric,,,,,
,2013,"Writing: A Guide for College and Beyond, Brief Edition Spiral (2nd Edition)","Faigley, Lester B.",244,academic,rhetoric,,,,,
,2013,Mapping Paradise: A History of Heaven on Earth,"Scafi, Alessandro",245,academic,maps,books,,,,
,2013,"The Visible Word: Experimental Typography and Modern Art, 1909-1923","Drucker, Johanna",246,academic,technology,media,,,,
,2013,Origin of Writing,"Harris, Roy",247,academic,linguistics,,,,,
,2013,The Language-Makers,"Harris, Roy",248,academic,linguistics,,,,,
,2013,The Mystery of Consciousness,"Searle, John R.",249,academic,philosophy,,,,,
,2013,The Language Machine,"Harris, Roy",250,academic,linguistics,,,,,
